id,make
1,Acura
2,Alfa Romeo
3,Aston Martin
4,Audi
5,Bentley
6,BMW
7,Bugatti
8,Buick
9,Cadillac
10,Chevrolet
11,Chrysler
12,Dodge
13,Ferrari
14,FIAT
15,Ford
16,Genesis
17,GMC
18,Honda
19,HUMMER
20,Hyundai
21,Infiniti
22,Kia
23,Lamborghini
24,Land Rover
25,Lexus
26,Lincoln
27,Lotus
28,Maserati
29,Maybach
30,Mazda
31,McLaren
32,Mercedes-Benz
33,Mitsubishi
34,Nissan
35,Oldsmobile
36,Plymouth
37,Pontiac
38,Porsche
39,Rolls-Royce
40,Saab
41,Scion
42,Spyker
43,Subaru
44,Suzuki
45,Tesla
46,Toyota
47,Volkswagen
48,Volvo
