id,price,brand,year,color,state,country,mileage
0,6300,toyota,2008,black,new jersey,usa,274117.0
1,2899,ford,2011,silver,tennessee,usa,190552.0
3,25000,ford,2014,blue,virginia,usa,64146.0
6,7300,chevrolet,2010,black,georgia,usa,149050.0
7,13350,gmc,2017,gray,california,usa,23525.0
9,5250,ford,2017,black,texas,usa,63418.0
10,10400,dodge,2009,orange,georgia,usa,107856.0
11,12920,gmc,2017,white,california,usa,39650.0
13,5430,chrysler,2017,gray,texas,usa,138650.0
14,20700,ford,2013,black,virginia,usa,100757.0
15,12710,gmc,2017,white,california,usa,25747.0
18,5210,ford,2017,white,texas,usa,35714.0
19,38100,ford,2013,gray,virginia,usa,54380.0
20,12520,gmc,2017,white,california,usa,30114.0
22,15000,chevrolet,2015,black,ohio,usa,61578.0
23,6180,ford,2017,blue,texas,usa,46010.0
24,20800,ford,2013,silver,virginia,usa,105510.0
25,11900,gmc,2017,silver,california,usa,28040.0
27,12000,buick,2014,brown,ohio,usa,31039.0
28,4190,ford,2017,white,texas,usa,44174.0
29,13000,ford,2008,white,tennessee,usa,93698.0
30,12710,gmc,2017,silver,california,usa,26364.0
31,18500,infiniti,2016,gray,new york,usa,71967.0
32,29800,chevrolet,1973,red,pennsylvania,usa,46226.0
33,5330,ford,2017,no_color,texas,usa,37792.0
34,13000,ford,2003,gray,virginia,usa,58817.0
35,11900,gmc,2017,black,california,usa,27965.0
36,16600,mercedes-benz,2016,white,new york,usa,110907.0
38,7320,ford,2017,gold,texas,usa,32366.0
39,7000,ford,2003,white,tennessee,usa,176567.0
40,12710,gmc,2017,white,california,usa,30049.0
41,16600,mercedes-benz,2016,white,new york,usa,97983.0
43,6330,ford,2017,red,texas,usa,38123.0
44,55000,ford,2017,black,pennsylvania,usa,15273.0
45,12520,gmc,2017,black,california,usa,28972.0
47,19000,chevrolet,2017,white,tennessee,usa,18414.0
48,5580,dodge,2017,gray,texas,usa,46829.0
49,54000,ford,2017,black,pennsylvania,usa,26241.0
50,12710,gmc,2017,red,california,usa,39886.0
52,27000,buick,2017,no_color,tennessee,usa,32107.0
53,7760,ford,2017,gray,texas,usa,44794.0
55,12920,gmc,2017,silver,california,usa,39165.0
57,18100,buick,2017,silver,florida,usa,46766.0
60,13490,gmc,2017,white,california,usa,27842.0
62,17800,chevrolet,2017,black,florida,usa,52435.0
63,6650,ford,2017,black,texas,usa,29942.0
