,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
0,bmw,1 series m,2011,premium unleaded (required),335.0,6.0,manual,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135
1,bmw,1 series,2011,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650
2,bmw,1 series,2011,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350
3,bmw,1 series,2011,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450
4,bmw,1 series,2011,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500
5,bmw,1 series,2012,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200
6,bmw,1 series,2012,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100
7,bmw,1 series,2012,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300
8,bmw,1 series,2012,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900
9,bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200
10,bmw,1 series,2013,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600
11,bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500
12,bmw,1 series,2013,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400
13,bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200
14,bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500
15,bmw,1 series,2013,premium unleaded (required),320.0,6.0,manual,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250
16,bmw,1 series,2013,premium unleaded (required),320.0,6.0,manual,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550
17,audi,100,1992,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
18,audi,100,1992,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
19,audi,100,1992,regular unleaded,172.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000
20,audi,100,1992,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
21,audi,100,1992,regular unleaded,172.0,6.0,manual,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000
22,audi,100,1993,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
23,audi,100,1993,regular unleaded,172.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000
24,audi,100,1993,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
25,audi,100,1993,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
26,audi,100,1993,regular unleaded,172.0,6.0,manual,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000
27,audi,100,1994,regular unleaded,172.0,6.0,automatic,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
