,Manufacturer,Model,Sales_in_thousands,resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
0,acura,integra,16.919,16.36,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0
1,acura,tl,39.384,19.875,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0
2,acura,rl,8.588,29.725,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0
3,audi,a4,20.397000000000002,22.255,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0
4,audi,a6,18.78,23.555,33.95,2.8,200.0,108.7,76.1,192.0,3.5610000000000004,18.5,22.0
5,audi,a8,1.38,39.0,62.0,4.2,310.0,113.0,74.0,198.2,3.9019999999999997,23.7,21.0
6,bmw,328i,9.231,28.675,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0
7,bmw,528i,17.527,36.125,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0
8,buick,century,91.561,12.475,21.975,3.1,175.0,109.0,72.7,194.6,3.3680000000000003,17.5,25.0
9,buick,regal,39.35,13.74,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0
10,buick,park avenue,27.851,20.19,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0
11,buick,lesabre,83.257,13.36,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0
12,cadillac,deville,63.729,22.525,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0
13,cadillac,eldorado,6.5360000000000005,25.725,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0
14,cadillac,catera,11.185,18.225,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0
15,chevrolet,cavalier,145.519,9.25,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0
16,chevrolet,malibu,135.126,11.225,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0
17,chevrolet,lumina,24.629,10.31,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0
18,chevrolet,monte carlo,42.593,11.525,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0
19,chevrolet,camaro,26.401999999999997,13.025,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0
20,chevrolet,corvette,17.947,36.225,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0
21,chevrolet,prizm,32.299,9.125,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0
22,chevrolet,metro,21.855,5.16,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0
23,chrysler,sebring coupe,7.854,12.36,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0
24,chrysler,sebring conv.,32.775,14.18,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0
25,chrysler,concorde,31.148000000000003,13.725,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0
26,chrysler,cirrus,32.306,12.64,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0
27,chrysler,lhs,13.462,17.325,28.34,3.5,253.0,113.0,74.4,207.7,3.5639999999999996,17.0,23.0
28,dodge,neon,76.03399999999999,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.5669999999999997,12.5,29.0
29,dodge,avenger,4.734,12.545,19.045,2.5,163.0,103.7,69.1,190.2,2.8789999999999996,15.9,24.0
30,dodge,stratus,71.186,10.185,20.23,2.5,168.0,108.0,71.0,186.0,3.0580000000000003,16.0,24.0
31,dodge,viper,0.9159999999999999,58.47,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0
32,dodge,ram pickup,227.06099999999998,15.06,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0
33,dodge,ram wagon,16.767,15.51,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0
34,dodge,ram van,31.038,13.425,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0
35,dodge,dakota,111.31299999999999,11.26,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0
36,dodge,caravan,181.74900000000002,12.025,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0
37,ford,escort,70.227,7.425,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0
38,ford,mustang,113.369,12.76,21.56,3.8,190.0,101.3,73.1,183.2,3.2030000000000003,15.7,24.0
39,ford,contour,35.068000000000005,8.835,17.035,2.5,170.0,106.5,69.1,184.6,2.7689999999999997,15.0,25.0
40,ford,taurus,245.815,10.055,17.885,3.0,155.0,108.5,73.0,197.6,3.3680000000000003,16.0,24.0
41,ford,crown victoria,63.403,14.21,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0
42,ford,explorer,276.747,16.64,31.93,4.0,210.0,111.6,70.2,190.7,3.8760000000000003,21.0,19.0
43,ford,windstar,155.787,13.175,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0
44,ford,expedition,125.338,23.575,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0
45,ford,ranger,220.65,7.85,12.05,2.5,119.0,117.5,69.4,200.7,3.0860000000000003,20.0,23.0
46,ford,f-series,540.561,15.075,26.935,4.6,220.0,138.5,79.1,224.5,4.2410000000000005,25.1,18.0
47,honda,civic,199.685,9.85,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0
48,honda,accord,230.90200000000002,13.21,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0
49,honda,cr-v,73.203,17.71,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0
50,honda,passport,12.855,17.525,26.6,3.2,205.0,106.4,70.4,178.2,3.8569999999999998,21.1,19.0
51,honda,odyssey,76.029,19.49,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0
52,hyundai,accent,41.184,5.86,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0
53,hyundai,elantra,66.692,7.825,11.799000000000001,2.0,140.0,100.4,66.9,174.0,2.6260000000000003,14.5,27.0
54,hyundai,sonata,29.45,8.91,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0
55,infiniti,i30,23.713,19.69,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0
56,jeep,wrangler,55.556999999999995,13.475,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0
57,jeep,cherokee,80.556,13.775,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0
58,jeep,grand cherokee,157.04,18.81,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0
59,lexus,es300,24.072,26.975,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0
60,lexus,gs300,12.698,32.075,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0
61,lexus,ls400,6.375,40.375,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0
62,lincoln,continental,13.798,20.525,39.08,4.6,275.0,109.0,73.6,208.5,3.8680000000000003,20.0,22.0
63,lincoln,town car,48.911,21.725,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0
64,mitsubishi,mirage,26.232,8.325,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0
65,mitsubishi,eclipse,42.541000000000004,10.395,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0
66,mitsubishi,galant,55.61600000000001,10.595,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0
67,mitsubishi,diamante,5.711,16.575,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0
68,mitsubishi,3000gt,0.11,20.94,25.45,3.0,161.0,97.2,72.4,180.3,3.1310000000000002,19.8,21.0
69,mitsubishi,montero,11.337,19.125,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0
70,mitsubishi,montero sport,39.348,13.88,22.526999999999997,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0
71,mercury,mystique,14.350999999999999,8.8,16.24,2.0,125.0,106.5,69.1,184.8,2.7689999999999997,15.0,28.0
72,mercury,cougar,26.529,13.89,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0
